wwtp_jurisdiction,n,Percent
Alabama,5202,0.6722849805952346
Alaska,1859,0.24024947691782794
Arizona,11920,1.5404915356968851
Arkansas,3803,0.4914840025381924
California,50130,6.478594017154769
Colorado,5507,0.7117019200572773
Connecticut,5205,0.6726726881965005
Delaware,5435,0.7023969376268935
District of Columbia,232,0.029982721164570243
Florida,16282,2.104218387937641
Georgia,14969,1.9345316944502242
Hawaii,4218,0.5451168873799883
Idaho,2622,0.33885644350647925
Illinois,59311,7.6651085128958005
Indiana,15934,2.0592443061907857
Iowa,5276,0.6818484347597958
Kansas,8089,1.0453889288802098
Kentucky,4967,0.6419145518293984
Louisiana,27957,3.6130471361978036
Maine,7923,1.0239357749434916
Maryland,4550,0.5880231952534251
Massachusetts,2809,0.3630235506520596
Michigan,64246,8.302887516978362
Minnesota,24663,3.187344190007741
Mississippi,859,0.1110136098291631
Missouri,35833,4.630908825388127
Montana,3329,0.43022620153816526
Nebraska,10749,1.3891563353360585
Nevada,2560,0.330843819746982
New Hampshire,5929,0.7662394559686938
New Jersey,16440,2.1246376549376498
New Mexico,2663,0.3441551140571145
New York,104182,13.464051105031283
New York City,9520,1.2303254546840894
North Carolina,22102,2.8563711343936706
Ohio,35977,4.649518790248895
Oklahoma,13364,1.727108127772917
Oregon,24549,3.1726113011596335
Pennsylvania,12249,1.5830101359690558
Rhode Island,1683,0.21750396431022295
South Carolina,3480,0.44974081746855366
South Dakota,1002,0.1294943388228422
Tennessee,1118,0.1444856994051273
Texas,17174,2.2194967813807303
Utah,3534,0.4567195542913416
Vermont,2488,0.32153883731659816
Virginia,23327,3.014685071577285
Washington,16977,2.1940373155642634
West Virginia,18723,2.419683139501072
Wisconsin,27191,3.514052462007886
Wyoming,3668,0.47403716048122263
